,Unnamed: 0,quest,option_1,option_2,option_3,option_4,correct_ans
157,C,"<p>Which one of the following reacts with Grignard reagent to form an addition product which can be hydrolysed to a carboxylic acid ?
</p>",O<sub>2</sub>,CO<sub>2</sub>,SO<sub>2</sub>,None  of these,2
158,C,<p>The compound that undergoes decarboxyliation most readily under mild condition is</p>,"		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q102O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q102O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q102O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q102O4.png""/>",2
159,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13916,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q104.png""/></p>","		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q104O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q104O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q104O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q104O4.png""/>",3
160,C,<p>What product is formed when cyclohexanone is oxidised?</p>,HOOC∙(CH<sub>2</sub>)<sub>4</sub> ∙ COOH,CH<sub>3</sub>CH<sub>2</sub>COOH,CH<sub>3</sub> (CH<sub>2</sub>)<sub>4</sub>COOH,None of the above,1
161,C,"<p>Identify the method by which Me<sub>3</sub>CCO<sub>2</sub>H can be
prepared.
</p>",Treating 1 mole of MeCOMe with 2 moles of MeMgI,Treating l mole of MeCO<sub>2</sub>Me with 3 moles of MeMgI,Treating 1 mole of MeCHO with 3 moles of MeMgI,Treating 1 mole of dry ice with 1 mole of Me<sub>3</sub>CMgI ,4
162,C,<p>Which one of the following is an example of Hell-Volhard-Zelinsky reaction?</p>,"		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q110O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q110O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q110O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q110O4.png""/>",2
163,C,"<p>Consider the acidity of the carboxylic acids<br/>
I. PhCOOH<br/>	II. <i>o</i>-NO<sub>2</sub>C<sub>6</sub>H<sub>4</sub>COOH<br/>
III. <i>p</i> -NO<sub>2</sub>C<sub>6</sub>H<sub>4</sub>COOH	<br/>IV. <i>m</i>-NO<sub>2</sub>C<sub>6</sub>H<sub>4</sub>COOH<br/>
Which of the following order is correct?
</p>",I &gt; II &gt; III &gt; IV	,II &gt; IV &gt; III &gt; I,II &gt; IV &gt; I &gt; III,II &gt; III &gt; IV &gt; I,4
164,C,<p>Identify <i>D</i> in the following reaction</p>,HOOC— CH<sub>2</sub>— COOH,OHC— CH<sub>2</sub>— COOH,OHC— CH<sub>2</sub>— CHO,HO— CH=CH— COOH,2
165,C,"<p>A liquid was mixed with ethanol and a drop of concentrated H<sub>2</sub>SO<sub>4</sub> was added. A compound with a fruity smell was formed. The liquid was
</p>",CH<sub>3</sub>OH,HCHO,CH<sub>3</sub>COCH<sub>3</sub>,CH<sub>3</sub>COOC<sub>2</sub>H<sub>5</sub> ,4
166,C,<p>Which of the following is a better reducing agent for the following reduction?<br/><i>R</i>COOH→<i>R</i>CH<sub>2</sub> OH</p>,SnCL<sub>2</sub> /HCl,NaBH<sub>4</sub> /ether,H<sub>2</sub>/Pd,N<sub>2</sub>H<sub>4</sub> /C<sub>2</sub>H<sub>5</sub>ONa,5
167,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13932,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q120.png""/></p>","		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q120O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q120O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q120O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q120O4.png""/>",3
168,C,"<p>The correct order of acidic strengths of the carboxylic acids is
</p>",formic acid &lt; benzoic acid &lt; acetic acid,formic acid &lt; acetic acid &lt; benzoic acid,acetic acid &lt; formic acid &lt; benzoic acid ,acetic acid &lt; benzoic acid &lt; formic acid ,4
169,C,<p>Identify <i>A</i> and <i>B</i> in the following reaction</p>,"<b>A</b> = HI + red P , <b>B</b> = LiAlH<sub>4</sub>","<b>A</b> = Ni/∆ , <b>B</b> = LiAlH<sub>4</sub>","<b>A</b> = LiAlH<sub>4</sub> , <b>B</b> = HI + red P","<b>A</b> = Pd—BaSO<sub>4</sub> , <b>B</b> = Zn + HCl",3
170,C,<p>End product of the following reaction is</p>,"		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q125O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q125O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q125O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q125O4.png""/>",3
171,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13940,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q128.png""/></p>",<i>R</i>CHBrCONH<sub>2</sub> ; <i>R</i>CH(NH<sub>2</sub> )COOH,<i>R</i>CHBrCOOH; <i>R</i>CH(NH<sub>2</sub> )COOH,<i>R</i>CH<sub>2</sub> COBr; <i>R</i>CH<sub>2</sub> COONH<sub>4</sub> ,<i>R</i>CHBrCOOH; <i>R</i>CH<sub>2</sub>CONH<sub>2</sub> ,2
172,C,"<p>The property which distinguishes formic acid from acetic acid is
</p>",Only ammonium salt of formic acid on heating gives amide,when heated with alcohol/H<sub>2</sub>SO<sub>4</sub> only acetic acid forms ester,Only acetic acid forms salts with alkali,Only formic acid reduces Fehling's solution,4
173,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13942,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q130.png""/></p>","		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q130O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q130O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q130O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q130O4.png""/>",3
174,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13943,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q131.png""/></p>","		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q131O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q131O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q131O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q131O4.png""/>",1
175,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13944,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q132.png""/></p>",alkyl chloride,aldehyde,carboxylic acid,ketone,3
176,C,"<p>When CH<sub>2</sub> = CH—COOH is reduced with LiAlH<sub>4</sub> , the compound obtained will be </p>",CH<sub>3</sub> —CH<sub>2</sub> —COOH,CH<sub>2</sub> = CH—CH<sub>2</sub>OH,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>OH,CH<sub>3</sub>CH<sub>2</sub>CHO,2
177,C,<p>The weakest acid amongst the following is</p>,ClCH<sub>2</sub>COOH,HCOOH,FCH<sub>2</sub>CH<sub>2</sub>COOH,CH<sub>2</sub>(I)COOH ,4
178,C,"<p>Given below are some statements concerning formic acid, which of them is true?
</p>",It is weaker acid than acetic acid,It is reducing agent,"When its calcium salt is heated, it forms a ketone",It is an oxidising agent,2
179,C,<p>Which of the following gives oxalic acid?</p>,Heating of acetic acid,Action of nitric acid on glucose,Acidic hydrolysis of cyanogen,Strong heating of sodium formate,3
180,C,"<p>In a set of the given reactions, acetic acid yielded a product <i>C</i> .</p>",CH<sub>3</sub> CH(OH) C<sub>6</sub>H<sub>5</sub>,"		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q141O2.png""/>",CH<sub>3</sub>CH(OH)C<sub>2</sub>H<sub>5</sub>,CH<sub>3</sub>COC<sub>6</sub>H<sub>5</sub>,2
181,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13954,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q142.png""/></p>","CH<sub>3</sub>COOC<sub>2</sub>H<sub>5</sub> , C<sub>2</sub>H<sub>5</sub>OH","CH<sub>3</sub> CHO, C<sub>2</sub> H<sub>5</sub>OH","C<sub>2</sub>H<sub>5</sub>OH, CH<sub>3</sub>CHO","C<sub>2</sub>H<sub>5</sub>OH, CH<sub>3</sub>COOC<sub>2</sub>H<sub>5</sub> ",4
182,C,"<p>The correct order of increasing acidic strength of the  compounds is
</p>",II &lt; IV &lt; I &lt; III,IV &lt; I &lt; III &lt; II,IV &lt; I &lt; II &lt; III,I &lt; IV &lt; III &lt; II,3
183,C,"<p><img class=""cursor-pointer"" onclick=""clickImg(1,13956,0);"" src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q144.png""/></p>",acid anhydride,ketone,aldehyde,ester,1
184,C,<p>Identify the compound <i>Z</i> in the reaction sequence</p>,CH<sub>3</sub> OH,CH<sub>3</sub> CH<sub>2</sub> NH<sub>2</sub> ,CH<sub>3</sub> CH<sub>2</sub> OH,CH<sub>3</sub> CH<sub>2</sub> CH<sub>2</sub> OH,3
185,C,"<p>Propionic acid and KOH reacts to produce which one of the following ?
</p>",Potassium propionate,Propyl alcohol,Propionaldehyde,Does not react,1
186,C,"<p>Saturated fatty acids are represented by which of the formula?
</p>",C<sub><i>n</i></sub> H<sub><i>n</i></sub> O<sub>2</sub>,C<sub><i>n</i></sub> H<sub>3<i>n</i></sub> O<sub>2</sub>,C<sub><i>n</i></sub> H<sub>2<i>n</i>+1</sub>,C<sub><i>n</i></sub> H<sub>2<i>n</i></sub> O<sub>2</sub>,4
187,C,<p>The Hell-Volhard-Zelinsky reaction is used for preparing</p>,β-halo acid,γ-halo acid ,α-halo acid,acid halide,3
188,C,"<p>4-methylbenzene sulphonic acid reacts with sodium acetate to give
</p>","		1) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q154O1.png""/>","		2)<img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q154O2.png""/>","		3) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q154O3.png""/>","		4) <img src=""./aldehydes_ketones_carboxylic_files/Sec2Cat56SubCat220Q154O4.png""/>",1
